name,country,query,url,phones,emails
Latest RFQs:Global Steel Door Importers and Buyers,ليبيا,steel door importer libya,https://www.exporthub.com/importers/steel-door/,"12143067737, 1299499034881",
Solid Wooden Door Importers,ليبيا,steel door importer libya,https://importer.tradekey.com/solid-wooden-door-importer.html,"201223341595, 923334488822","eg.sample@xyz.com, madi1962@gmail.com"
Commercial Hollow Metal Fire Rated Doors,الاردن,steel door importer jordan,https://www.bing.com/aclick?ld=e8AttpqCgC0jerozuebaWeHTVUCUwlW1C48dvVtoXrLL5fwZPYi_EmCH-5Qiv0k-tPRtSPL73eADq09VK78E0vsjI4f2W7lSbAp_pd9Sg95DBgjtq9urBpHGfl-Q1uNq4TsOf5xKgu3hx7LHyc7eg0I_zKKSGrJNZV9yojrTdN86r8vi4AhqhqScnycua0kB4ZjwpNs9FKMDoK3b37li5s8rcNv,"3235300600, 3238922626, 8449992626",info@luxdoors.com
Polystyrene Foam,الاردن,steel door importer jordan,https://www.jadacompany.com/,962795535867,"daoud@jadadoors.com, michael@jadadoors.com, sales@jadadoors.com"
ابواب تركية خارجية – مركز اسطنبول التجاري – ابواب مصفحة صناعة تركية,العراق,ابواب مصفحة تركية للعراق واتس,https://doushesh.com/listing/aboab-trky-khargy-mrkz-astnbol-altgary-aboab-msfh-snaaa-trky-80144,0502000040390,
ابواب تركية داخلية - مركز اسطنبول التجاري - باب تركي داخلي,العراق,ابواب مصفحة تركية للعراق واتس,https://www.alanaat.com/products/ابواب-تركية-داخلية-مركز-اسطنبول-التجاري-باب-تركي-داخلي_2319,0967730527,
ابواب تركية - مركز اسطنبول التجاري - باب تركي داخلي,ليبيا,شركة ابواب تركية ليبيا,https://doushesh.com/listing/aboab-trky-mrkz-astnbol-altgary-bab-trky-dakhly-82342,0502000040419,
باب مصفح تركي بارز طبيعي,ليبيا,باب مصفح تركي للبيع في ليبيا,https://akaratalhadba.com/product/باب-مصفح-تركي-بارز-طبيعي/,"2010010589, 2033922127",contact@akaratalhadba.com
باب مصفح تركي - Al Masrya doors,ليبيا,باب مصفح تركي للبيع في ليبيا,https://almasrya-doors.com/?product=turkish-armored-door8,"01044095640, 010440956400104",
turkish armored doors - ابواب مصفحة تركي (13) - الروماني للابواب المصفحة والاخشا,ليبيا,ابواب مصفحة تركية ليبيا واتساب,https://www.alromany.net/products/turkish-armored-doors/turkish-armored-doors-ابواب-مصفحة-تركي-13/,201556166305,info@alromany.net
Steel Door,مصر,steel door importer egypt,https://en.algomtl.com/steel-door-1053045.html,"8613849388672, 8615173313189, 8618050996636, 8618650901698",
Fire Rated Doors in UAE,افريقيا,site:exportersindia.com steel door africa,https://www.exportersindia.com/ae/fire-rated-doors.htm,"919700318318, 919953717914",
AL AHDSharjah United Arab Emirates,افريقيا,site:exportersindia.com steel door africa,https://www.exportersindia.com/ae/al-ahd/,"919700318318, 919953717914",
Agew Steel Manufacturers Pvt. LtdCG Road Ahmedabad Gujarat,افريقيا,site:exportersindia.com steel door africa,https://www.exportersindia.com/agew-steel/,"919700318318, 919953717914",
Metal Craft Industries LlcDubai United Arab Emirates,افريقيا,site:exportersindia.com steel door africa,https://www.exportersindia.com/ae/metal-craft-industries-llc/,"919700318318, 919953717914",
AdviktechPerumbavoor Ernakulam Kerala,افريقيا,site:exportersindia.com steel door africa,https://www.exportersindia.com/adviktech/,"919700318318, 919953717914",
Security Door - Malaysia No.1 Home Safety Door Supplier,افريقيا,safety door supplier west africa,https://security-door.net/,0183813078,
Commercial Hollow Metal Fire Rated Doors,افريقيا,site:alibaba.com steel door africa importer,https://www.bing.com/aclick?ld=e838Od-6GpOB1IhnnMtuxmjTVUCUyeRFgVrC0ey8vxMRXB7IkZg1qO-Nc2bUAkRQEEISO1ce1NXzYHJQAMXT49kuyMAP6BUnAg8iAQNY4kDcM9RZ2wJeZOQA1wTguVNBj_0HKK3CLkBMGjrVVw9XrRT9DJJZ3AZniHngY97JvHsuOEB1YoqktBHDX-MJVBWWC6kwEEhbTfZ3EhHhBJNdckm_FcN,"3235300600, 3238922626, 8449992626",info@luxdoors.com
africa steel door suppliers,افريقيا,site:alibaba.com steel door africa importer,https://www.alibaba.com/africa-steel-door-suppliers.html,011010252160,
Africa Steel Door,افريقيا,site:alibaba.com steel door africa importer,https://www.alibaba.com/supplier/africa-steel-door.html,"2024067534, 220241358, 33010002000366",
Armored Door,افريقيا,armored door supplier south africa kenya,https://rusthelp.com/items/armored-door,1353298668,
Medico Steel Door - Medico Factory is the first factory in Egypt to manufacture ,عام,موردين ابواب مصفحة في تركيا,https://medicosteeldoor.com/ar/,"01094758888, 201005431710, 201010777095, 201094758888","info@medicosteeldoor.com, rawan.abdelrazek231@gmail.com, sales@medicosteeldoor.com"
Steel Security Doors Kenya - Reinforced Entry Doors for Homes & Offices,افريقيا,armored door supplier south africa kenya,https://www.securedsafely.com/steelsecuritydoors,"254722758171, 254728749644","acesec@africaonline.co.ke, info@easol.home.co.ke"
Steel Doors Kenya,افريقيا,armored door supplier south africa kenya,https://sevenstarsdoors.co.ke/,07167048360722,info@sevenstarsdoors.co.ke
Best Steel Security Doors in Kenya 2025,افريقيا,armored door supplier south africa kenya,https://dooritdoorsplus.co.ke/top-steel-security-doors-in-kenya-enhance-your-homes-safety-and-style-in-2025/,2540701410647,
Stainless Steel Door DealersSuppliers & Exporters,افريقيا,steel door importer ghana nigeria kenya,https://www.sheravbm.com/doors/stainless-steel-door/,"85225813444, 85225813588",
DISTRIBUTOR - Fire Doors Manufacturers in Bangalore I Fire Door Manufacturers in,افريقيا,fire door distributor senegal ivory coast,https://sigmadpl.com/distributor/,"919113087715, 919900245206, 9900245206",pavan@sigmadpl.com
Fire-rated systems,افريقيا,fire door distributor senegal ivory coast,https://aluprof.com/en/offer/fire-rated-systems,967064202,
Fire Door - China Door Industry Manufacturers-Dongguan Xinyi Door,افريقيا,fire door distributor senegal ivory coast,https://xinyidoorindustry.com/products/fire-door/,"100763267865216, 8618925586467",fan@xinyidoorindustry.com
High Quality Doors for Your Home,افريقيا,fire door distributor senegal ivory coast,https://sidomdoors.com/?srsltid=AfmBOorzQj5jXYjFt0O-JgBiuNIIlHbjjWIKJH2eXHH-l8XIQ7to_9ke,0208867460,info@sidomdoors.com
Apartment Steel Door Export to Iraq Door,العراق,steel door iraq importer,https://haojundoor.en.made-in-china.com/product/TsFQevodStkK/China-Apartment-Steel-Door-Export-to-Iraq-Door.html,"129552008, 7308300000",
Open a Store,العراق,steel door iraq importer,https://www.steeldoorwholesaler.com.tr/magaza-ac,905053351891,info@steeldoorwholesaler.com.tr
Quality Steel Doors,الاردن,steel door importer jordan,https://qualitysteeldoors.net/?srsltid=AfmBOooHYUokeM03CGV4EMrMhlELWTCI42-KF2JWVJrJ_DWKUgl-rw0e,"0284063206, 0484063206",
باب امان تركي - الصاحب وشاور التميمي لابواب الامان التركية في الاردن,الاردن,باب امان تركي الاردن معارض,https://www.halabazaar.com/ar...-AlOmariCompanyشركةالعمري/property/58a17007949a4/باب-امان-تركي-الصاحب-وشاور-التميمي-لابواب-الامان-التركية-في-الاردن,"065523640, 0796867537, 0797527377",
ابواب الأمان في الاردن - شركة الصاحب وشاور التميمي ابواب امان,الاردن,باب امان تركي الاردن معارض,https://www.halabazaar.com/ar/show/agentproperties/319/24,"065523640, 0796867537, 0797527377",
turkey solid wooden doors and steel doors for sales,عام,steel door factory turkey contact,https://needshub.com/product/turkey-solid-wooden-doors-and-steel-doors-sales,"07033550442, 08108060242, 08169663795",
Steel Door,عام,wholesale steel door turkey exporter,https://www.simtodoor.com/products/steel-door/,8618657198515,silver@simtogroup.com
ابواب تركية - مركز اسطنبول التجاري - باب تركي خارجي - ابواب مصفحة,عام,موردين ابواب مصفحة في تركيا,https://doushesh.com/listing/aboab-trky-mrkz-astnbol-altgary-bab-trky-khargy-aboab-msfh-81918,0502000040411,
turkish armored doors - ابواب مصفحة تركي (11) - الروماني للابواب المصفحة والاخشا,ليبيا,ابواب مصفحة تركية ليبيا واتساب,https://www.alromany.net/products/turkish-armored-doors/turkish-armored-doors-ابواب-مصفحة-تركي-11/,201556166305,info@alromany.net
ابواب تركية - مركز اسطنبول التجاري - باب تركي داخلي,ليبيا,ابواب مصفحة تركية ليبيا واتساب,https://www.alanaat.com/products/ابواب-تركية-مركز-اسطنبول-التجاري-باب-تركي-داخلي_2270,0967730527,
أفضل أنواع الأبواب المصفحة ومقاساتها وأسعارها ومميزاتها,ليبيا,اسعار الابواب المصفحة في ليبيا,https://aldiyaralasrea.com/blog/types-of-armored-doors/,"01014741410, 201008202789",info@aldiyaralasrea.com
أبواب وإكسسوارات أبواب للبيع في مصر‏(40),مصر,site:opensooq.com ابواب مصفحة مصر,https://eg.opensooq.com/ar/المنزل-والحديقة/أبواب-وإكسسوارات-الأبواب,"010000000, 010021911, 010035073, 010056990, 010107248, 010276743, 010283573, 010291214, 010501213, 010653953, 010924025, 010940767, 011031264, 011128759, 011129285, 011133800, 011192419, 011245058, 011421594, 011461490, 011557141, 012037704, 012244660, 012800488, 015500129",
turkish armored doors - ابواب مصفحة تركي (28) - الروماني للابواب المصفحة والاخشا,مصر,ابواب مصفحة تركية مصر واتساب,https://www.alromany.net/products/turkish-armored-doors/turkish-armored-doors-ابواب-مصفحة-تركي-28/,201556166305,info@alromany.net
ابواب مصفحة ايطالي في مصر mp3,مصر,ابواب مصفحة تركية مصر واتساب,https://xn-------z5facaebm1c6c6bh2a9nh9clm3c2cdc.bbp.style/,٠١٠٢٣٥٣٨٣٨٨,
أبواب مصفحة,مصر,ابواب شقة مصفحة وكلاء مصر,https://akaratalhadba.com/أبواب-مصفحة/,"2010010589, 2033922127",contact@akaratalhadba.com
محلات الابواب في الرياض 2026,مصر,معارض بيع الابواب في مصر,https://hatim.com.sa/محلات-الابواب-في-الرياض-2026/,0551765717,
استيراد ابواب خشبية من تركيا,العراق,مستورد ابواب من تركيا لبغداد,https://inturkeyexport.com/turkey/استيراد-ابواب-خشبية-من-تركيا/,447488521825,info@inturkeyexport.com
YK Fire Door – Your Trusted Partner forFire Rated Door& Commercial Doorsin Alask,افريقيا,safety door supplier west africa,https://www.yunngd.com/our-service-areas/west-virginia/,"18903711702, 8618903711702",
Class A 60 Minute Fire Doors,افريقيا,fire door distributor senegal ivory coast,https://www.doorsdirect.co.za/class-a-fire-doors,"0870125286, 0870125286087",
Steel Door Companies,عام,best steel door manufacturer istanbul,https://www.ec21.com/companies/steel-door.html,"12242850555, 14175016477, 18885778335, 44016423371, 448000607078, 82316847282, 86031132872332, 86031705462505, 86057154722169, 86075763301632, 86079117307001, 8613202373938, 8613631930230, 8615976296085, 8618587696286, 8885346086, 905414070222, 91961990227, 91981013024, 924230144162",
أكبر معارض ابواب غرف نوم في مصر 2026,مصر,معارض بيع الابواب في مصر,https://doors-eg.com/bedroom-door-galleries/,01020404918,
ابواب مصفحة كل ما تريد معرفتة عن الابواب المصفحة,مصر,ابواب شقة مصفحة وكلاء مصر,https://htcsafety.com/الابواب-المصفحة/,"01122570201, 201044545111, 966594697944",info@htcsafety.com
Security Door - Malaysia No.1 Home Safety Door Supplier,افريقيا,safety door supplier west africa,https://safety-door.com/,0192388208,
"Security

Door",افريقيا,safety door supplier west africa,https://hptdoor.co.za/,"0824554284, 27824554284",
ithalatihracat.biz,افريقيا,metal door importer tanzania ethiopia,https://www.ithalatihracat.biz/?Syf=39&search=importers,"030510000000, 041000000019, 080222000000, 0803901000, 080620300000, 081340950019, 120400900000, 230120000011, 292121000012, 3010401026846, 381700500000, 3901101000, 440290000000, 520942009200, 560311900000, 7308200010, 740721100, 843810100000, 843890009019, 853532100, 901890100011, 961900891000","a.benech@norevo.de, aapkirai@ebm.com.pk, anwoodhams@btconnect.com, custormerservice@onestigroup.com, elit-produkt2011@mail.ru, fayaz@cyber.net.pk, giuc74@hotmail.com, info@aquaclub.com.tr, info@ithalatihracat.biz, infohrnl@synventive.com, kozu_baglan@mail.ru, marmolescovarrubias133@hotmail.com, mehamohammed2017@gmail.com, rodia@rodia-com.gr, sicab@chello.se, sinatexnics@mega.kg, sukuvb@hotmail.com, united.printers@ethionet.et, ventasfusari@gmail.com, zrnozit@t-com.me"
Commercial Hollow Metal Fire Rated Doors,افريقيا,fire door distributor senegal ivory coast,https://www.bing.com/aclick?ld=e8Tu3fxPnYArgUvgVLwMxAfTVUCUy1WlI8l_NCqZ78oMIV8QC9WC2hnSLUsBmGZz1-JUNLjMJyvEcrTOS9Sa6hYRR10H2kmrn9xSXozFerxPjBF8erN7eQyEnvUw3yEii72kz8aGTcruoSQspM8Qi0CZTosWLgAmloRs_NwmMpKDPVKAgzK2wgv5XwGWJxZt5meXmM5w&u=aHR0cHMlM2ElMmYl,"3235300600, 3238922626, 8449992626",info@luxdoors.com
Fire Rated Doors in Senegal,افريقيا,fire door distributor senegal ivory coast,https://toshiautomation.co/fire-rated-doors/senegal,917669305054,
باب مصفح تركي 11 سم كود SH12 – بار داخلي يمين/شمال,ليبيا,باب مصفح تركي للبيع في ليبيا,https://www.shabanastores.com/shop/الأبواب/ابواب-مصفحه/باب-مصفح-تركي-11-سم-كود-sh10-بار-داخلي-يمين-ش-2/,01050585855,
Seller muhsinkirbas,ليبيا,steel door importer libya,https://en.algomtl.com/muhsinkirbas,905372632885,
Fire Doors Importers,ليبيا,steel door importer libya,https://importer.tradekey.com/fire-doors-importer.html,858886866,eg.sample@xyz.com
Turkey Steel Door Manufacturer - Steel Door Sales Portal,عام,wholesale steel door turkey exporter,https://www.steeldoorwholesaler.com.tr/,905053351891,info@steeldoorwholesaler.com.tr
Verified Turkish Exporter Lists,عام,wholesale steel door turkey exporter,https://ihracat.com.tr/verified-turkish-exporter-lists/,27112025170,
توريد ابواب الامان 2025/2024 في الاردن للاستفسار 0796867537,الاردن,وكيل ابواب تركية في الاردن,https://www.halabazaar.com/en/property/64ef0133444e6/توريد-ابواب-الامان-2024/2023-في-الاردن-للاستفسار-0796867537,"065523640, 0796867537, 07968675370796, 0797527377",
Zhejiang Kefei Industry&trade Co.Ltd,افريقيا,site:exportersindia.com steel door africa,https://www.exportersindia.com/cn/zhejiang-kefei-industry-trade/metal-door.htm,"919700318318, 919953717914, 960120016001800, 960900860",
Stainless Steel Doors,افريقيا,site:exportersindia.com steel door africa,https://www.exportersindia.com/indian-suppliers/stainless-steel-doors.htm,"919700318318, 919953717914",
Steel Door in Kolkata,افريقيا,site:exportersindia.com steel door africa,https://www.exportersindia.com/kolkata/steel-door.htm,"919700318318, 919953717914",
Steel Door in Mumbai,افريقيا,site:exportersindia.com steel door africa,https://www.exportersindia.com/mumbai/steel-door.htm,"919700318318, 919953717914",
Free Search List of Importers & Buyers Globally,افريقيا,metal door importer tanzania ethiopia,https://www.seair.co.in/doors-importers,"565837476, 919667735607",
Commercial Hollow Metal Fire Rated Doors,افريقيا,site:alibaba.com steel door africa importer,https://www.bing.com/aclick?ld=e8H0tbTKSE7bsg0YdspvE0GjVUCUzF8HFS1yVSt9wGqYdW4_4RQIkskWcdGFPos-E-ToNKDgD0X-rOuaPqKzFtyhW4IvY186-0XYOtibEj5pr2tTSVUu2m1C7mQFEPNNfBCzGGh0RT_83tK4aY1FQnLmWVQLJy56SmtupRZtDcUpTB1gT0aooYQItwyw4NSQJ1xk2ef_nv3e0XIIHEUOjikuC49,"3235300600, 3238922626, 8449992626",info@luxdoors.com
أكبر معارض ابواب مصفحة في مصر 2026,مصر,معارض بيع الابواب في مصر,https://doors-eg.com/armored-door-exhibitions/,01020404918,
أكبر شركات ابواب غرف نوم في مصر 2026,مصر,معارض بيع الابواب في مصر,https://doors-eg.com/bedroom-doors/,01020404918,
ابواب PVC,مصر,ابواب شقة مصفحة وكلاء مصر,https://tibawood.com/product-category/pvc-doors-products/,01012610480,
ابواب الأمان في الاردن - شركة الصاحب وشاور التميمي ابواب امان,الاردن,باب امان تركي الاردن معارض,https://www.halabazaar.com/ar/show/agentproperties/319/0,"065523640, 0796867537, 0797527377",
ابواب مصفحة ابواب داخلية,عام,مصنع ابواب مصفحة في تركيا واتساب,https://abwaboctober.blogspot.com/2016/10/,"01110289808, 103110086853247",
Dekorist Interior Room Doors And Steel Door Factory,عام,steel door factory turkey contact,https://www.tradekey.com/company/Dekorist-Interior-room-doors-and-Steel-door-Factory-14701963.html,"12092272270, 18886529307","contactus@tradekey.com, eg.sample@xyz.com"
تصدير ابواب مصفحة من تركيا,المغرب,ابواب مصفحة من تركيا المغرب واتس,https://inturkeyexport.com/turkey/تصدير-ابواب-مصفحة-من-تركيا/,447488521825,info@inturkeyexport.com
Morocco Doors Buyers and Importers List!,المغرب,steel door importer morocco,https://www.tradewheel.com/buyers/doors/morocco/,198011186,
Commercial Hollow Metal Fire Rated Doors,المغرب,steel door importer morocco,https://www.bing.com/aclick?ld=e84jDrF6OHLk5LBwfipxorgDVUCUxGq9Nf0Wug0r7dpDPlKNrUToCnp2tIYTg-jSpTAPix4d05BHer-8thXboen9SlefmKmwIwZ_nP_a8dqyVUqg0caUgD4jwuLcFrbo2DZMOHXY-tiyFgiSn3WVBQD0mQ9hLxxL6zR9rPWZa6_abOBlIpYB5oqMOu0i173HPTVTEq1Q&u=aHR0cHMlM2ElMmYl,"3235300600, 3238922626, 8449992626",info@luxdoors.com
باب تركي - شركة مركز اسطنبول التجاري - باب مصفح - ابواب خارجية,العراق,ابواب مصفحة تركية للعراق واتس,https://doushesh.com/listing/bab-trky-shrk-mrkz-astnbol-altgary-bab-msfh-aboab-khargy-80881,0502000040394,
ابواب,العراق,موزع ابواب مصفحة في بغداد,https://decorestore-eg.com/product-category/ابواب/page/3/,01500009119,info@decorestore-eg.com
ابواب تركية - ريف دمشق - باب تركي داخلي - مركز اسطنبول التجاري,العراق,شركة ابواب تركية العراق,https://doushesh.com/listing/aboab-trky-ryf-dmshk-bab-trky-dakhly-mrkz-astnbol-altgary-82712,0502000040433,
Coventry 4-Panel Smooth Fire Door (FD30),افريقيا,fire door distributor senegal ivory coast,https://www.todd-doors.co.uk/4-panel-smooth-fire-door-fd30,08006335050,
Textile: Interior Door Collection,افريقيا,metal door dealer ghana nigeria cameroon,https://www.bertolotto.net/wood-effect/textile-interior-door-collection,02761400049,
234 International DoorKodungaiyur Chennai Tamil Nadu,افريقيا,site:exportersindia.com steel door africa,https://www.exportersindia.com/234-international-door/,"919700318318, 919953717914",
باب مصفح تركي - Shabana Stores - شبانة ستورز,مصر,وكيل باب مصفح تركي في مصر,https://www.shabanastores.com/product-tag-ar/باب-مصفح-تركي/,01050585855,
باب تركي مصفح - Al Masrya doors,مصر,وكيل باب مصفح تركي في مصر,https://almasrya-doors.com/?product=turkish-armored-door5,"01044095640, 010440956400104",
تركيب ابواب حديد في عجمان : الأمان والجودة بتصاميم مميزة,مصر,تجار ابواب حديدية في مصر,https://shaimaapalace.com/تركيب-ابواب-حديد-في-عجمان/,"0506691641, 201114323865",
Egypt For Metal Processing Technology - Empt,مصر,steel door importer egypt,https://www.findinegypt.com/c/egypt-for-metal-processing-technology-empt-146383,"01090011783, 0235390676, 0235391070, 0235391516, 0235391517",
